path,status,source_group,file_type,size_bytes,sha256,canonical_path,normalized_companion,extraction_method,extraction_confidence,blocker
docs/plans/operational-core/tickets/p1-operational-core-mvp.md,active-plan,docs,.md,8127,b3b6c74255b95e8c9eed982d4abfd954ad8344f5b7215cecbc4108ae0716acf8,docs/plans/operational-core/tickets/p1-operational-core-mvp.md,,native-markdown,complete,
docs/plans/operational-core/tickets/p2-parser-hardening-provider-parity.md,active-plan,docs,.md,3396,a5703a4851ca86e604252b031232ce865e586378207e899dcd2dbe903574aed9,docs/plans/operational-core/tickets/p2-parser-hardening-provider-parity.md,,native-markdown,complete,
docs/plans/operational-core/tickets/p3-integrations-storage-eva-intake.md,active-plan,docs,.md,5630,fd7345587e904257961c5ace013a3916a627dea4727529881d8d3503a8e4bd15,docs/plans/operational-core/tickets/p3-integrations-storage-eva-intake.md,,native-markdown,complete,
docs/plans/operational-core/tickets/p4-intelligence-engineer-communications.md,active-plan,docs,.md,4390,fa4ec973bf0b7a9fff5e3e97cae35f6a51507a298f64daa63f6b98a8bd8d91c7,docs/plans/operational-core/tickets/p4-intelligence-engineer-communications.md,,native-markdown,complete,
docs/plans/operational-core/tickets/p5-platform-expansion.md,active-plan,docs,.md,4937,41b9e72c7bac477ff4701ae204921ffff4eb55a041e8986ffb44bbf50a694af7,docs/plans/operational-core/tickets/p5-platform-expansion.md,,native-markdown,complete,
docs/plans/operational-core/tickets/README.md,active-plan,docs,.md,588,b6cd4d5ad9a6172fd81668d5d37a46c5606913a7f368911ca35d1af0e75a402c,docs/plans/operational-core/tickets/README.md,,native-markdown,complete,
docs/reference/_index.md,active-plan,docs,.md,785,0eb1197dc7a5868145db27308943a66cef916a12db98ddc82757c08db9361768,docs/reference/_index.md,,native-markdown,complete,
docs/reference/adjacent_repositories.md,active-plan,docs,.md,903,cc42396333724c04a08103aa8ce8d4280a3b660fe5e2df005a06d68104b4fbe8,docs/reference/adjacent_repositories.md,,native-markdown,complete,
docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/contact_sheets/whiteboard-images-01.jpg,normalized-derivative,data/jam_exports,.jpg,165146,187a9d0657715c2ad031800415cb81057687c8bb14092a41c77518f59983c05c,docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/contact_sheets/whiteboard-images-01.jpg,,not-applicable,not-applicable,
docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/contact_sheets/whiteboard-images-02.jpg,normalized-derivative,data/jam_exports,.jpg,127422,5acc025603fb00c8ef91c58a912f43fd54270a5f62964766d9b9f8d8eb400090,docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/contact_sheets/whiteboard-images-02.jpg,,not-applicable,not-applicable,
docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/contact_sheets/whiteboard-images-03.jpg,normalized-derivative,data/jam_exports,.jpg,138775,885eb6d1750046992552eabad6f3978b41c48e5a986595730d1e1a907cdd7491,docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/contact_sheets/whiteboard-images-03.jpg,,not-applicable,not-applicable,
docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/contact_sheets/whiteboard-images-04.jpg,normalized-derivative,data/jam_exports,.jpg,166138,0f589e0f563fac4b2b0e58b9348e8d5258c5a2d1118bbe3b88e17fd0445c560c,docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/contact_sheets/whiteboard-images-04.jpg,,not-applicable,not-applicable,
docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/contact_sheets/whiteboard-images-05.jpg,normalized-derivative,data/jam_exports,.jpg,156455,30835e8d1046f49022783a4a496469c5c25ea3edd67674ed5a211c0c06672d8c,docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/contact_sheets/whiteboard-images-05.jpg,,not-applicable,not-applicable,
